# sentencepiece unigram vocab, extrahiert aus bpe.model | pieces=500 | unk_id=2 | add_dummy_prefix=True | byte_fallback=False
▁PUT	-7.785038	1
▁LOVE	-7.786835	1
▁QUESTION	-7.792999	1
▁HELP	-7.794951	1
▁HAPPEN	-7.802207	1
▁MR	-7.812077	1
▁OWN	-7.813913	1
WARD	-7.824292	1
▁MADE	-7.825401	1
▁HAND	-7.825727	1
▁STATE	-7.831963	1
IBLE	-7.839608	1
▁TELL	-7.842852	1
▁PH	-7.846215	1
▁CAME	-7.859052	1
▁TEA	-7.859306	1
▁STILL	-7.861156	1
▁DIFFERENT	-7.867011	1
▁PLACE	-7.868723	1
▁MIGHT	-7.869894	1
▁FIND	-7.877593	1
▁DU	-7.881228	1
▁IMP	-7.891805	1
▁OLD	-7.909398	1
▁PERSON	-7.912628	1
▁COUNT	-7.921000	1
▁JA	-7.923938	1
▁POINT	-7.942866	1
▁HIGH	-7.965661	1
SHIP	-7.970790	1
▁LAST	-7.982817	1
▁SAME	-7.984854	1
▁FOUR	-8.005152	1
▁AROUND	-8.011813	1
▁OH	-8.029158	1
▁CHANGE	-8.038320	1
▁UNDER	-8.040030	1
▁HOME	-8.044729	1
▁ANOTHER	-8.046560	1
▁FOUND	-8.051962	1
ATIVE	-8.057681	1
▁TURN	-8.064822	1
▁YES	-8.067883	1
LAND	-8.069949	1
▁ALWAYS	-8.077404	1
▁YEAH	-8.079281	1
▁SCHOOL	-8.087453	1
▁JE	-8.100902	1
▁NEXT	-8.113102	1
▁WORD	-8.122441	1
▁JU	-8.127291	1
LINE	-8.156420	1
▁SIX	-8.164662	1
▁LEARN	-8.175008	1
▁BOOK	-8.184145	1
▁PLAY	-8.196425	1
▁AWAY	-8.203636	1
▁HOUSE	-8.205842	1
▁PLAN	-8.211508	1
▁WHILE	-8.212154	1
▁COMMUNI	-8.216485	1
▁FRIEND	-8.218834	1
▁AMERICA	-8.219691	1
▁INTEREST	-8.228706	1
▁KEEP	-8.236598	1
▁BETTER	-8.236838	1
▁IDEA	-8.239540	1
▁HARD	-8.240744	1
▁TWENTY	-8.244674	1
▁THOUSAND	-8.245410	1
▁HUNDRED	-8.260869	1
▁WEEK	-8.264473	1
▁NUMBER	-8.276376	1
▁COURSE	-8.282358	1
▁OKAY	-8.292519	1
PRESS	-8.302481	1
▁SYSTEM	-8.316234	1
▁NINE	-8.329080	1
▁UNDERSTAND	-8.329813	1
▁WITHOUT	-8.334275	1
▁BELIEVE	-8.345627	1
▁POWER	-8.355341	1
▁MAYBE	-8.375276	1
▁BUILD	-8.383187	1
▁MONEY	-8.386291	1
▁BETWEEN	-8.390532	1
▁GONNA	-8.390549	1
▁IMPORTANT	-8.399546	1
▁ANYTHING	-8.424572	1
▁LEFT	-8.428634	1
▁HAVING	-8.431481	1
▁WHITE	-8.438231	1
▁PROBLEM	-8.441372	1
▁SECOND	-8.445678	1
▁SPEAK	-8.460896	1
▁TOGETHER	-8.466305	1
▁BLACK	-8.478995	1
▁PUBLIC	-8.479166	1
▁HEALTH	-8.481624	1
▁NOTHING	-8.492066	1
▁EVERYTHING	-8.492423	1
Q	-9.857651	1
